path,tissue,label_binary
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca235.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3326.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3387.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1949.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1633.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1094.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1529.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca322.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3170.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2439.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3216.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1203.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1822.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1713.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3718.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4188.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1965.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4014.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2569.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1975.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1832.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3743.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2003.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1577.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca79.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca145.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4659.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1299.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca714.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1436.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2765.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1352.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca857.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca879.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2579.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3262.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4225.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4883.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca969.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2889.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4238.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4708.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1024.jpeg,lung,1
../../data/lc25000/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1057.jpeg,lung,1
